"filename", "language", "JSON", "JSON with Comments", "Markdown", "XML", "JavaScript", "PostCSS", "TypeScript", "HTML", "Svelte", "Rust", "comment", "blank", "total"
"c:\Users\yungr\Documents\Misc Projects\NoWork\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\yungr\Documents\Misc Projects\NoWork\package-lock.json", "JSON", 2042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2043
"c:\Users\yungr\Documents\Misc Projects\NoWork\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\assets\greeting.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\default.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\desktop.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\authtest.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 275, 20, 57, 352
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\cal_credentials.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\database.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 1, 10, 71
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\greet.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 1, 10, 51
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tags.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 6, 17, 111
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tasks.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 13, 46, 355
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 2, 4, 52
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 7
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\tauri.conf.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 17, 100
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\AlertDialog.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 7, 84
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Badge.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 10, 73
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 26, 217
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\CalendarWidget.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 26, 184
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Card.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\ColorLine.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 9, 52
"c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\Countdown.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 17, 105
