"filename", "language", "JSON", "Markdown", "JSON with Comments", "Rust", "JavaScript", "XML", "TypeScript", "Svelte", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\yungr\Documents\Misc Projects\NoWork\README.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28
"c:\Users\yungr\Documents\Misc Projects\NoWork\package-lock.json", "JSON", 2074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2075
"c:\Users\yungr\Documents\Misc Projects\NoWork\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\assets\greeting.json", "JSON", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\build.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\default.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\capabilities\desktop.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\icons\android\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\icons\android\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\authtest.rs", "Rust", 0, 0, 0, 300, 0, 0, 0, 0, 0, 0, 23, 63, 386
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\cal_credentials.rs", "Rust", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\calendar\mod.rs", "Rust", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\database.rs", "Rust", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 10, 72
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\geolocation.rs", "Rust", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\greet.rs", "Rust", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 10, 51
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\mod.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\priority.rs", "Rust", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tags.rs", "Rust", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 6, 17, 111
"c:\Users\yungr\Documents\Misc Projects\NoWork\src-tauri\src\commands\tasks.rs", "Rust", 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 14, 57, 404
