Date : 2026-08-14 16:16:58
Directory : c:\Users\yungr\Documents\Misc Projects\NoWork
Total : 82 files,  8954 codes, 159 comments, 1071 blanks, all 10184 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Svelte             |         34 |      4,444 |         22 |        658 |      5,124 |
| JSON               |          6 |      2,297 |          0 |          3 |      2,300 |
| Rust               |         14 |      1,015 |         48 |        187 |      1,250 |
| TypeScript         |         19 |      1,000 |         73 |        184 |      1,257 |
| PostCSS            |          1 |         83 |          0 |         17 |        100 |
| JavaScript         |          2 |         33 |         11 |          8 |         52 |
| XML                |          3 |         29 |          0 |          1 |         30 |
| JSON with Comments |          1 |         23 |          5 |          1 |         29 |
| Markdown           |          1 |         17 |          0 |         11 |         28 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         82 |      8,954 |        159 |      1,071 |     10,184 |
| . (Files)                                                                                               |          6 |      2,187 |         16 |         22 |      2,225 |
| src                                                                                                     |         55 |      5,540 |         95 |        860 |      6,495 |
| src (Files)                                                                                             |          2 |         96 |          0 |         18 |        114 |
| src-tauri                                                                                               |         20 |      1,207 |         48 |        188 |      1,443 |
| src-tauri (Files)                                                                                       |          2 |         42 |          0 |          2 |         44 |
| src-tauri\assets                                                                                        |          1 |        109 |          0 |          0 |        109 |
| src-tauri\capabilities                                                                                  |          2 |         35 |          0 |          0 |         35 |
| src-tauri\icons                                                                                         |          2 |          9 |          0 |          0 |          9 |
| src-tauri\icons\android                                                                                 |          2 |          9 |          0 |          0 |          9 |
| src-tauri\icons\android\mipmap-anydpi-v26                                                               |          1 |          5 |          0 |          0 |          5 |
| src-tauri\icons\android\values                                                                          |          1 |          4 |          0 |          0 |          4 |
| src-tauri\src                                                                                           |         13 |      1,012 |         48 |        186 |      1,246 |
| src-tauri\src (Files)                                                                                   |          2 |         53 |          3 |          6 |         62 |
| src-tauri\src\calendar                                                                                  |          3 |        327 |         23 |         67 |        417 |
| src-tauri\src\commands                                                                                  |          8 |        632 |         22 |        113 |        767 |
| src\lib                                                                                                 |         46 |      4,243 |         75 |        664 |      4,982 |
| src\lib (Files)                                                                                         |         20 |      2,500 |          3 |        367 |      2,870 |
